Net Status Report
Filename     : D:\我的PCB工程\费院长项目理疗仪\理疗仪PCB-E3\RD3399B\RD3399-20181013_SCH\RD3399-20181026.PCBDOC
Date         : 2020/2/8
Time         : 19:47:40
Time Elapsed : 00:00:00

Nets, Layer, Length
    MIPI_TX0_D1N, Signal Layers Only, 53.7108mm
    MIPI_TX0_D1P, Signal Layers Only, 55.5891mm
    MIPI_TX0_D2N, Signal Layers Only, 56.8861mm
    MIPI_TX0_D2P, Signal Layers Only, 58.7451mm
    MIPI_TX0_D3N, Signal Layers Only, 57.4108mm
    MIPI_TX0_D3P, Signal Layers Only, 59.4096mm
    MIPI_TX1/RX1_CLKN, Signal Layers Only, 0mm
    MIPI_TX1/RX1_CLKP, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D0N, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D0P, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D1N, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D1P, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D2N, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D2P, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D3N, Signal Layers Only, 0mm
    MIPI_TX1/RX1_D3P, Signal Layers Only, 0mm
    NetC11_2, Signal Layers Only, 9.3465mm
    NetC143_1, Signal Layers Only, 5.7152mm
    NetC145_1, Signal Layers Only, 6.9518mm
    NetC157_2, Signal Layers Only, 8.3172mm
    NetC158_2, Signal Layers Only, 9.7841mm
    NetC168_1, Signal Layers Only, 2.9452mm
    NetC168_2, Signal Layers Only, 6.8406mm
    NetC171_2, Signal Layers Only, 9.6028mm
    NetC3_1, Signal Layers Only, 3.1282mm
    NetC3_2, Signal Layers Only, 4.2494mm
    NetC44_2, Signal Layers Only, 4.6185mm
    NetC45_2, Signal Layers Only, 3.1767mm
    NetC46_2, Signal Layers Only, 3.6081mm
    NetC48_1, Signal Layers Only, 6.1899mm
    NetC48_2, Signal Layers Only, 10.0255mm
    NetC49_1, Signal Layers Only, 4.2035mm
    NetC49_2, Signal Layers Only, 8.7153mm
    NetC53_1, Signal Layers Only, 4.0387mm
    NetC56_1, Signal Layers Only, 6.4054mm
    NetC65_1, Signal Layers Only, 7.208mm
    NetC66_1, Signal Layers Only, 3.0999mm
    NetC7_2, Signal Layers Only, 3.0861mm
    NetC8_1, Signal Layers Only, 2.3107mm
    NetC8_2, Signal Layers Only, 2.5658mm
    NetD1_1, Signal Layers Only, 9.5211mm
    NetD4_1, Signal Layers Only, 9.5221mm
    NetJ10_2, Signal Layers Only, 12.3849mm
    NetJ22_4, Signal Layers Only, 5.9545mm
    NetJ22_5, Signal Layers Only, 5.668mm
    NetJ2_6, Signal Layers Only, 28.5377mm
    NetJ46_2, Signal Layers Only, 0mm
    NetJ46_4, Signal Layers Only, 0mm
    NetJ7_1, Signal Layers Only, 0mm
    NetK1_1, Signal Layers Only, 16.9059mm
    NetL4_2, Signal Layers Only, 5.4284mm
    NetQ1_1, Signal Layers Only, 4.6142mm
    NetQ1_3, Signal Layers Only, 5.593mm
    NetQ2_1, Signal Layers Only, 4.2706mm
    NetR12_2, Signal Layers Only, 8.443mm
    NetR13_1, Signal Layers Only, 6.3404mm
    NetR16_1, Signal Layers Only, 3.1968mm
    NetR17_1, Signal Layers Only, 4.3571mm
    NetR29_2, Signal Layers Only, 10.1229mm
    NetR32_2, Signal Layers Only, 8.4735mm
    NetR33_2, Signal Layers Only, 6.6692mm
    NetR3_1, Signal Layers Only, 7.536mm
    PCIE_CLKREQN_U, Signal Layers Only, 0mm
    PCIE_REF_CLKN, Signal Layers Only, 0mm
    PCIE_REF_CLKP, Signal Layers Only, 0mm
    PCIE_RX0_N, Signal Layers Only, 0mm
    PCIE_RX0_P, Signal Layers Only, 0mm
    PCIE_RX1_N, Signal Layers Only, 0mm
    PCIE_RX1_P, Signal Layers Only, 0mm
    PCIE_RX2_N, Signal Layers Only, 0mm
    PCIE_RX2_P, Signal Layers Only, 0mm
    PCIE_RX3_N, Signal Layers Only, 0mm
    PCIE_RX3_P, Signal Layers Only, 0mm
    PCIE_TX0N, Signal Layers Only, 0mm
    PCIE_TX0P, Signal Layers Only, 0mm
    PCIE_TX1N, Signal Layers Only, 0mm
    PCIE_TX1P, Signal Layers Only, 0mm
    PCIE_TX2N, Signal Layers Only, 0mm
    PCIE_TX2P, Signal Layers Only, 0mm
    PCIE_TX3N, Signal Layers Only, 0mm
    PCIE_TX3P, Signal Layers Only, 0mm
    PHE_DET, Signal Layers Only, 46.8066mm
    PHY_INT, Signal Layers Only, 0mm
    PHY_PMEB, Signal Layers Only, 0mm
    PHY_RST, Signal Layers Only, 0mm
    PHY_TXCLK, Signal Layers Only, 0mm
    PHY_TXD0, Signal Layers Only, 0mm
    PHY_TXD1, Signal Layers Only, 0mm
    PHY_TXD2, Signal Layers Only, 0mm
    PHY_TXD3, Signal Layers Only, 0mm
    PHY_TXEN, Signal Layers Only, 0mm
    PORT_HPD, Signal Layers Only, 0mm
    POWER_EN, Signal Layers Only, 2.0787mm
    PWR_KEY, Signal Layers Only, 0mm
    PW_EN, Signal Layers Only, 86.3905mm
    RK3399_26M_OUT, Signal Layers Only, 0mm
    RST_KEY, Signal Layers Only, 3.4138mm
    RX2, Signal Layers Only, 92.9412mm
    RXD5, Signal Layers Only, 17.37mm
    RXD6, Signal Layers Only, 16.6767mm
    RXD7, Signal Layers Only, 26.6077mm
    RXD8, Signal Layers Only, 35.5496mm
    SDIO_CLK, Signal Layers Only, 15.0008mm
    SDIO_CMD, Signal Layers Only, 13.5275mm
    SDIO_D0, Signal Layers Only, 16.8495mm
    SDIO_D1, Signal Layers Only, 21.5297mm
    SDIO_D2, Signal Layers Only, 14.5983mm
    SDIO_D3, Signal Layers Only, 10.8665mm
    SDMMC0_CLK, Signal Layers Only, 0mm
    SDMMC0_CMD, Signal Layers Only, 0mm
    SDMMC0_D0, Signal Layers Only, 0mm
    SDMMC0_D1, Signal Layers Only, 0mm
    SDMMC0_D2, Signal Layers Only, 0mm
    SDMMC0_D3, Signal Layers Only, 0mm
    SDMMC0_DET_L, Signal Layers Only, 0mm
    SDMMC0_PWR_H, Signal Layers Only, 0mm
    SDOUT, Signal Layers Only, 4.0617mm
    SPI1_CLK, Signal Layers Only, 52.3168mm
    SPI1_CSN0, Signal Layers Only, 51.406mm
    SPI1_RXD4, Signal Layers Only, 52.8157mm
    SPI1_TXD4, Signal Layers Only, 54.5385mm
    SPK_CTL_H, Signal Layers Only, 0mm
    TOUCH_RST_L, Signal Layers Only, 23.9897mm
    TX2, Signal Layers Only, 90.9046mm
    TXD5, Signal Layers Only, 15.8152mm
    TXD6, Signal Layers Only, 17.886mm
    TXD7, Signal Layers Only, 24.3108mm
    TXD8, Signal Layers Only, 36.1051mm
    TYPEC0_CC1, Signal Layers Only, 0mm
    TYPEC0_CC2, Signal Layers Only, 0mm
    TYPEC0_DM, Signal Layers Only, 0mm
    TYPEC0_DP, Signal Layers Only, 0mm
    TYPEC0_ID, Signal Layers Only, 0mm
    TYPEC0_RCLKM, Signal Layers Only, 0mm
    TYPEC0_RCLKP, Signal Layers Only, 0mm
    TYPEC0_RX1N, Signal Layers Only, 0mm
    TYPEC0_RX1P, Signal Layers Only, 0mm
    TYPEC0_RX2N, Signal Layers Only, 0mm
    TYPEC0_RX2P, Signal Layers Only, 0mm
    TYPEC0_SBU1, Signal Layers Only, 0mm
    TYPEC0_SBU1_DC, Signal Layers Only, 0mm
    TYPEC0_SBU2, Signal Layers Only, 0mm
    TYPEC0_SBU2_DC, Signal Layers Only, 0mm
    TYPEC0_TX1N, Signal Layers Only, 0mm
    TYPEC0_TX1P, Signal Layers Only, 0mm
    TYPEC0_TX2N, Signal Layers Only, 0mm
    TYPEC0_TX2P, Signal Layers Only, 0mm
    TYPEC0_U2VBUSDET, Signal Layers Only, 0mm
    TYPEC0_U3VBUSDET, Signal Layers Only, 0mm
    TYPEC1_CC1, Signal Layers Only, 0mm
    TYPEC1_CC2, Signal Layers Only, 0mm
    TYPEC1_ID, Signal Layers Only, 0mm
    TYPEC1_RCLKM, Signal Layers Only, 0mm
    TYPEC1_RCLKP, Signal Layers Only, 0mm
    TYPEC1_RX2N, Signal Layers Only, 0mm
    TYPEC1_RX2P, Signal Layers Only, 0mm
    TYPEC1_SBU1, Signal Layers Only, 0mm
    TYPEC1_SBU1_DC, Signal Layers Only, 0mm
    TYPEC1_SBU2, Signal Layers Only, 0mm
    TYPEC1_SBU2_DC, Signal Layers Only, 0mm
    TYPEC1_TX2N, Signal Layers Only, 0mm
    TYPEC1_TX2P, Signal Layers Only, 0mm
    TYPEC1_U2VBUSDET, Signal Layers Only, 0mm
    TYPEC1_U3VBUSDET, Signal Layers Only, 0mm
    UART-OSCI, Signal Layers Only, 7.8282mm
    UART-OSCO, Signal Layers Only, 11.6959mm
    UART0_CTS, Signal Layers Only, 32.0438mm
    UART0_RTS, Signal Layers Only, 33.5575mm
    UART0_RXD, Signal Layers Only, 30.4576mm
    UART0_TXD, Signal Layers Only, 32.2059mm
    UART_IRQ, Signal Layers Only, 5.2655mm
    USB3_DM, Signal Layers Only, 0mm
    USB3_DP, Signal Layers Only, 0mm
    USB3_SSRXN, Signal Layers Only, 0mm
    USB3_SSRXP, Signal Layers Only, 0mm
    USB3_SSTXN, Signal Layers Only, 0mm
    USB3_SSTXP, Signal Layers Only, 0mm
    USBDN1, Signal Layers Only, 28.5597mm
    USBDN2, Signal Layers Only, 0mm
    USBDN3, Signal Layers Only, 48.3056mm
    USBDN4, Signal Layers Only, 73.0864mm
    USBDP1, Signal Layers Only, 27.4917mm
    USBDP2, Signal Layers Only, 0mm
    USBDP3, Signal Layers Only, 48.3056mm
    USBDP4, Signal Layers Only, 73.0864mm
    V33_HUB, Signal Layers Only, 36.2673mm
    VBAT_WL, Signal Layers Only, 21.6045mm
    VCC1V8_DVP, Signal Layers Only, 0mm
    VCC3V0_TOUCH, Signal Layers Only, 29.4697mm
    VCC3V3_SYS, Signal Layers Only, 6.2704mm
    VCC5V0_HOST_EN, Signal Layers Only, 0mm
    VCC5V0_TYPEC0_EN, Signal Layers Only, 0mm
    VCCA1V8_CODEC, Signal Layers Only, 35.1364mm
    VCCA3V0_CODEC, Signal Layers Only, 33.1211mm
    VCC_1V8, Signal Layers Only, 78.2647mm
    VCC_3V0, Signal Layers Only, 0mm
    VCC_RTC, Signal Layers Only, 59.7834mm
    VDD_12V, Signal Layers Only, 13.0939mm
    VDD_3G, Signal Layers Only, 28.2871mm
    VDD_LCD, Signal Layers Only, 14.3171mm
    WIFIBT_32KIN, Signal Layers Only, 44.767mm
    WIFI_CLK, Signal Layers Only, 58.9107mm
    WIFI_CMD, Signal Layers Only, 54.7952mm
    WIFI_D0, Signal Layers Only, 57.3841mm
    WIFI_D1, Signal Layers Only, 64.9807mm
    WIFI_D2, Signal Layers Only, 63.262mm
    WIFI_D3, Signal Layers Only, 48.8401mm
    WIFI_HOST_WAKE, Signal Layers Only, 77.9739mm
    WIFI_REG_ON, Signal Layers Only, 79.479mm
    XTAL1, Signal Layers Only, 11.7789mm
    XTAL2, Signal Layers Only, 9.218mm
    XTAL_IN, Signal Layers Only, 3.2827mm
    XTAL_OUT, Signal Layers Only, 13.9038mm
count : 334
